empresa,nome,endereco,bairro,cidade,estado,cep,latitude,longitude
PetCamp,Rio Claro - PetCamp Rio Claro II - Loja 087,Av. Saburô Akamine,,Rio Claro,SP,,-22.40065,-47.58521
PetCamp,Rio Claro - PetCamp Rio Claro 29 - Loja 112,Av. 29,,Rio Claro,SP,,,
PetCamp,Rio Claro - PetCamp Rio Claro - Loja 038,R 11,,Rio Claro,SP,,-22.4108551888413,-47.567665550925526
PetCamp,Santa Barbara d'Oeste -  PetCamp Santa Barbara d'Oeste - 099,Rua Limeira,,Santa Bárbara d'Oeste,SP,,-22.73865,-47.36502
PetCamp,Sorocaba - PetCamp Ipanema - Loja 014,Av. Ipanema,,Sorocaba,SP,,-23.463137969708722,-47.497211804895166
PetCamp,Sorocaba - PetCamp Sorocaba Atanázio - Loja 105,R. Atanázio Soares,,Sorocaba,SP,,-23.453120099112393,-47.48410022208966
PetCamp,Sorocaba - PetCamp Campolim - Loja 045,Rua Heloísa Oliveira Evangelista,,Sorocaba,SP,,-23.53370398176573,-47.475109122089656
PetCamp,Sorocaba - PetCamp Sorocaba Independência - Loja 070,Rua Barão de Cotegipe,,Sorocaba,SP,,-23.506186765167,-47.47167476441792
PetCamp,Sumaré -  PetCamp Sumaré Real Park - Loja 085,Estrada Municipal Mineko Ito,,Sumaré,SP,,-22.82577,-47.21425
PetCamp,Sumaré - PetCamp Sumaré Maria Luiza- Loja 103,Rua Odette Jones Gigo,,Sumaré,SP,,-22.80100306811321,-47.19349534051822
PetCamp,Sumaré - PetCamp Sumaré - Loja 013,Av. Rebouças,,Sumaré,SP,,-22.822607500223555,-47.272151450925534
PetCamp,Sumaré - PetCamp Santa Rosa - Loja 015,Estrada Municipal Valêncio Callegari,,Sumaré,SP,,-22.847152888893348,-47.211527206746204
PetCamp,São Carlos - PetCamp São Carlos - Loja 040,Av. Miguel Damha,,São Carlos,SP,,-21.967649026391886,-47.891240564417934
PetCamp,São José do Rio Preto - PetCamp Presidente - Loja 053,Av. Pres. Juscelino K. de Oliveira,,São José do Rio Preto,SP,,-20.852033690648327,-49.4130941625669
PetCamp,São José do Rio Preto - PetCamp Yolanda - Loja 057,Rua Waldomiro Nadotti,,São José do Rio Preto,SP,,-20.80916120601065,49.3519504625669
PetCamp,São José do Rio Preto - PetCamp São Miguel- Loja 110,Av Nelson Sinibaldi,,São José do Rio Preto,SP,,-20.79286699258243,-49.344561937269184
PetCamp,São José do Rio Preto - PetCamp Estudantes - Loja 041,Av. Dos Estudantes,,São José do Rio Preto,SP,,-20.80865024731069,-49.39685955092552
PetCamp,São José do Rio Preto - PetCamp  SJRP Coronel - Loja 079,Rua Coronel Spinola Castro,,São José do Rio Preto,SP,,-20.81744,-49.39046
PetCamp,São José dos Campos - PetCamp São José dos Campos Urbanova - Loja 118,Av Danilo Stanzani,,São José dos Campos,SP,,-23.1891759521909,-45.933738415343704
PetCamp,São José dos Campos - PetCamp São José dos Campos Chaparral - Loja 119,Av São João,,São José dos Campos,SP,,-23.205254760962752,-45.905445500000006
PetCamp,São José dos Campos - PetCamp São José dos Campos Valesul - Loja 122,Av Andrômeda,,São José dos Campos,SP,,-23.235275477446216,-45.88441472883592
PetCamp,São José dos Campos - PetCamp São José dos Campos Aquarius - Loja 121,Av Engenheiro Florestan Fernandes,,São José dos Campos,SP,,-23.214754049593534,-45.90155652883592
PetCamp,São José dos Campos  - PetCamp São José dos Campos - Loja 101,Rua Arcílio Moreira da Silva,,São José dos Campos,SP,,-23.261359181867878,-45.900086594477536
PetCamp,São José dos Campos - PetCamp São José dos Campos JK - Loja 120,Av Presidente Juscelino Kubitschek,,São José dos Campos,SP,,-23.183309643586195,-45.85795645713995
PetCamp,Tatuí - PetCamp Tatuí - Loja 116,Av Coronel Firmo Vieira de Camargo,,Tatuí,SP,,,
PetCamp,Taubaté- PetCamp Taubaté Aparecida - Loja 104,Rua José Felipe Cursino de Moura,,Taubaté,SP,,-23.01470533877772,-45.56483592212625
PetCamp,Taubaté - PetCamp Taubaté - Loja 050,"Av. Francisco Barreto Leme, 903",,Taubaté,SP,,-23.004907557541955,-45.5504435625669
PetCamp,Uberaba - PetCamp Uberaba Leopoldino - Loja 109,Av. Leopoldino de Oliveira,,Uberaba,MG,,-19.755581053309275,-47.91796084056645
PetCamp,Uberaba - PetCamp 3P Uberaba - Loja 084,Rua Medalha Milagrosa,,Uberaba,MG,,-19.74961,-47.94919
PetCamp,Valinhos - PetCamp Valinhos - Loja 039,Av. Independência,,Valinhos,SP,,-22.99223846112855,-47.00616913558206
PetCamp,Vinhedo - PetCamp Vinhedo - Loja 008,Av. Independência,,Vinhedo,SP,,-23.026919383668464,-46.98137554907447
PetCamp,Votorantim - PetCamp Votorantim - Loja 042,Av. Moacir Oséias Guiti,,Votorantim,SP,,-23.535670919254503,-47.45173067791034
