empresa;nome;endereco;cidade;bairro;estado;cep;latitude;longitude;data_extracao
cobasi;Pet Shop Cobasi Jundiaí;Rua Jose Amato;Jundiaí;;SP;13201-141;;;10/10/2025
cobasi;Pet Shop Cobasi Lauro de Freitas;Av. Santos Dumont;Lauro de Freitas;;BA;42701-260;;;10/10/2025
cobasi;Pet Shop Cobasi Limeira;Avenida Carlos Kuntz Busch;Limeira;;SP;13485-905;;;10/10/2025
cobasi;Pet Shop Cobasi Londrina Centro;Rua Minas Gerais;Londrina;;PR;86010-170;;;10/10/2025
cobasi;Pet Shop Cobasi Londrina Madre Leônia;Av. Madre Leônia Milito;Londrina;;PR;86050-270;;;10/10/2025
cobasi;Pet Shop Cobasi M'Boi Mirim;Estrada do M'Boi Mirim;São Paulo;;SP;04905-002;;;10/10/2025
cobasi;Pet Shop Cobasi Maceió Fernandes Lima;Avenida Fernandes Lima;Maceió;;AL;57055-000;;;10/10/2025
cobasi;Pet Shop Cobasi Maracanaú;Rua João de Alencar;Maracanau;;CE;61900-150;;;10/10/2025
cobasi;Pet Shop Cobasi Marechal Tito;Av Marechal Tito;São Paulo;;SP;08022-000;;;10/10/2025
cobasi;Pet Shop Cobasi Marginal Pinheiros;Avenida das Nações Unidas;São Paulo;;SP;04795-100;;;10/10/2025
cobasi;Pet Shop Cobasi Marginal Tietê;Rua Maria Prestes Maia;São Paulo;;SP;02047-000;;;10/10/2025
cobasi;Pet Shop Cobasi Maringá;Av. João Paulino Vieira Filho;Maringá;;PR;87020-015;;;10/10/2025
cobasi;Pet Shop Cobasi Marília;Avenida Sampaio Vidal;Marília;;SP;17500-022;;;10/10/2025
cobasi;Pet Shop Cobasi Minas Shopping;Avenida Cristiano Machado;Belo Horizonte;;MG;31160-959;;;10/10/2025
cobasi;Pet Shop Cobasi Moema Pássaros;Avenida Ibirapuera;São Paulo;;SP;04028-002;;;10/10/2025
cobasi;Pet Shop Cobasi Moinhos dos Ventos;Rua Miguel Tostes;Porto Alegre;;RS;90430-060;;;10/10/2025
cobasi;Pet Shop Cobasi Mooca;Av. Alcântara Machado;São Paulo;;SP;03101-000;;;10/10/2025
cobasi;Pet Shop Cobasi Morumbi;Av. Giovanni Gronchi;São Paulo;;SP;05724-003;;;10/10/2025
cobasi;Pet Shop Cobasi Natal;Avenida Senador Salgado Filho;Natal;;RN;59076-000;;;10/10/2025
cobasi;Pet Shop Cobasi Niterói;Rua Marechal Deodoro;Niterói;;RJ;24030-060;;;10/10/2025
cobasi;Pet Shop Cobasi Nossa Senhora do Carmo;Av. Nossa Senhora do Carmo;Belo Horizonte;;MG;30335-300;;;10/10/2025
cobasi;Pet Shop Cobasi Nova Cantareira;Avenida Nova Cantareira;São Paulo;;SP;;;;10/10/2025
cobasi;Pet Shop Cobasi Novo Hamburgo;Avenida Primeiro de Março;Novo Hamburgo;;RS;93320-102;;;10/10/2025
cobasi;Pet Shop Cobasi Osasco;Av. dos Autonomistas;Osasco;;SP;06090-010;;;10/10/2025
