empresa;nome;endereco;bairro;cidade;estado;cep;latitude;longitude
POP Pet Center;Pop Pet Vila Regina – Goiânia GO;Rua das Camélias;Parque Oeste Industrial;Goiânia;GO;74375500;-16.655417;-49.3352863
POP Pet Center;Pop Pet São Felix – PA;Travessa Cuiabá;Vila Jardim São Judas Tadeu;Goiânia;GO;74685180;-16.6555622;-49.2760996
POP Pet Center;Pop Pet Orizona – GO;;;Orizona;GO;75280000;-17.0302266;-48.2984248
POP Pet Center;Pop Pet Trindade (Vila Joao Braz) – GO;Rua 34;Setor Pai Eterno;Trindade;GO;75387073;-16.6448498;-49.4913597
POP Pet Center;Pop Pet Tucurui – PA;Rua Bom Jesus;Jardim Marilucy;Tucuruí;PA;68459528;-3.7724932;-49.709736
POP Pet Center;Pop Pet Novo Repartimento – PA;Travessa Rio Jordão, s/n Quadra 55;Espigão;Novo Repartimento;PA;68473970;-4.247246;-49.9519115
POP Pet Center;Pop Pet Varginha – MG;Rua Ramiro Rezende;Rezende;Varginha;MG;37062300;-21.5828327;-45.4376236
POP Pet Center;Pop Pet Agua Boa – MT;Rua Cinco 184;Centro;Água Boa;MT;78635970;-14.0570259;-52.1594683
POP Pet Center;Pop Pet Cidade De Goias – GO;;;Goiás;GO;76600000;-15.9445728;-50.1466159
POP Pet Center;Pop Pet Porangatu – GO;;;Porangatu;GO;76550000;-13.4444882;-49.1506807
POP Pet Center;Pop Pet Parque Amazonia – Goiânia GO;Rua Tocari;Parque Amazônia;Goiânia;GO;74835560;-16.7295043;-49.2842484
POP Pet Center;Pop Pet Itumbiara – GO;Rua RI 24;Residencial Itaipu;Goiânia;GO;74356010;-16.7870362;-49.3680378
POP Pet Center;Pop Pet Edeia – GO;;;Edéia;GO;75940000;-17.3360228;-49.9307866
POP Pet Center;Pop Pet Primavera Do Leste – MT;Rua Paranatinga 159;Centro;Primavera do Leste;MT;78850970;-15.5451579;-54.301582
POP Pet Center;Pop Pet Mangabeira – PB;Rua Osório Milanez Filho;Mangabeira;João Pessoa;PB;58056280;-7.1775473;-34.8391423
POP Pet Center;Pop Pet Parauapebas – PA;;;;;;;
POP Pet Center;Pop Pet Santarem – PA;Avenida Marechal Rondon;Santa Clara;Santarém;PA;68005095;-2.4249986;-54.712057
POP Pet Center;Pop Pet Piracanjuba – GO;Rua Piracanjuba Quadra 6;Residencial Lago Azul I;Araguaína;TO;77829214;-17.306982;-49.0315018
POP Pet Center;Pop Pet Neropolis – GO;;;Nerópolis;GO;75460000;-16.4064889;-49.2220703
POP Pet Center;Pop Pet Catalão – GO;Avenida Tiradentes;Safatle;Catalão;GO;75710440;-18.1624123;-47.9567532
POP Pet Center;Pop Pet Cidade Jardim Goiânia – GO;Rua Oscar Campos;Conjunto Morada Nova;Goiânia;GO;74423310;-16.6844571;-49.3157161
POP Pet Center;Pop Pet Bessa – João Pessoa PB;;;;;;;
POP Pet Center;Pop Pet Av. São Paulo – Aparecida de Goiânia GO;;;;;;;
POP Pet Center;Pop Pet Veiga Jardim – Aparecida de Goiânia GO;;;;;;;
POP Pet Center;Pop Pet Vila Alzira – Aparecida de Goiânia GO;;;;;;;
POP Pet Center;Pop Pet Novo Horizonte – Goiânia GO;;;;;;;
POP Pet Center;Pop Pet Bela Vista de Goiás – GO;;;;;75240-000;;
POP Pet Center;Pop Pet Indiara – GO;;;;;74955-000;;
POP Pet Center;Pop Pet BH – Minas Gerais;;;;;31950-390;;
POP Pet Center;Pop Pet Jardim América (C1) Goiânia – GO;;;;;74265-010;;
POP Pet Center;Pop Pet Silvania – GO;;;;;75180-000;;
POP Pet Center;Pop Pet Palmas (QD 804) – TO;;;;;77023-044;;
POP Pet Center;Pop Pet Conj Riviera – Goiânia GO;;;;;74730-010;;
POP Pet Center;Pop Pet Acreuna – GO;;;;;75960-000;;
POP Pet Center;Pop Pet Canaa dos Carajas – PA;;;;;68537-000;;
POP Pet Center;Pop Pet Colina Azul – Goiânia GO;;;;;74970-760;;
POP Pet Center;Pop Pet Formosa – GO;;;;;73813-010;;
POP Pet Center;Pop Pet Anicuns – GO;;;;;76170-000;;
