empresa;nome;endereco;bairro;cidade;estado;cep;latitude;longitude
petland;Petland Oficinas;;;"
  Ponta Grossa";"
  PR";invalido;-25.123.682.199.999.900;-50.154.747.799.999.900
petland;Petland Mooca;Avenida Paes de Barros;Mooca;São Paulo;SP;03114-000;-236.774.200.144;-46.636
petland;Petland Moema Pássaros;Avenida Pavão;Indianópolis;São Paulo;SP;04516-012;-238.375.300.332;-469.518.306.068
petland;Petland Moema Índios;Alameda dos Nhambiquaras;Indianópolis;São Paulo;SP;04090-011;-23.783.080.026;-463.795.655.761
petland;Petland Marapé;Rua Godofredo Fraga;Marapé;Santos;SP;11070-400;-239.556.817;-463.468.306
petland;Petland Praia Grande Mallet;Avenida Marechal Mallet;Canto do Forte;Praia Grande;SP;11700-405;-240.070.324;-464.067.837
petland;Petland Mackenzie Mall;Avenida Tucunaré;Tamboré;Barueri;SP;06460-020;-235.225.200.027;-468.885.629.334
petland;Petland Jóquei Clube;Avenida Jóquei Clube;Jóquei;Teresina;PI;64049-240;-50.745.246;-42.784.648
petland;Petland João Fiúsa;Avenida Professor João Fiúsa;Jardim Botânico;Ribeirão Preto;SP;14024-250;-211.704.008;-478.103.238
petland;Petland Jardins;Rua Bela Cintra;Consolação;São Paulo;SP;01415-001;-235.524.085.573;-46.655.224.424
petland;Petland Jaguaríuna;Avenida Antonio Pinto Catão;Loteamento Capotuna;Jaguariúna;SP;13912-180;-226.928.981;-469.804.537
petland;Petland Itararé;Avenida Presidente Wilson;Itararé;São Vicente;SP;11320-001;-239.682.565;-463.762.476
petland;Petland Homero;Avenida Homero Castelo Branco;Planalto;Teresina;PI;64050-010;-5.056.108;-427.826.894
petland;Petland Guilhermina;Avenida Presidente Kennedy;Guilhermina;Praia Grande;SP;11702-205;-240.072.448;-464.298.225
petland;Petland Graça;Rua da Graça;Graça;Salvador;BA;40150-055;-12.997.443;-385.255.692
petland;Petland Embaré;Avenida Doutor Epitácio Pessoa;Boqueirão;Santos;SP;11045-300;-239.648.026;-463.235.849
petland;Petland Canal 2;Avenida Doutor Bernardino de Campos;Campo Grande;Santos;SP;11065-003;-239.582.251;-463.379.206
petland;Petland Canal 1;Avenida Senador Pinheiro Machado;Marapé;Santos;SP;11075-001;-239.556.817;-463.468.306
petland;Petland Campolim;Avenida Antônio Carlos Comitre;Parque Campolim;Sorocaba;SP;18047-620;-235.226.839;-474.649.254
petland;Petland Boqueirão;Rua Bento de Abreu;Boqueirão;Santos;SP;11045-140;-23.966.871;-4.632.075
petland;Petland Batel;Rua Comendador Araújo;Centro;Curitiba;PR;80420-000;-254.202.599.958;-49.273
petland;Petland Aparecida;Rua Alexandre Martins;Aparecida;Santos;SP;11025-201;-239.735.381;-463.055.176
petland;Petland Alphaville;Avenida Yojiro Takaoka;Alphaville;Santana de Parnaíba;SP;06541-038;-23.444;-469.311.451.441
petland;Petland Holandeses;Avenida dos Holandeses;Calhau;São Luís;MA;65071-380;-24.935.147;-442.786.188
petland;Petland Cohatrac;Rua Doze;Cohatrac II;São Luís;MA;65053-820;-25.382.728;-442.072.109
petland;Petland Cohama;Avenida Atlântica;Olho D'Água;São Luís;MA;65067-430;-24.810.648;-442.364.591
petland;Petland Belvedere;Avenida Luíz Paulo Franco;Belvedere;Belo Horizonte;MG;30320-570;-199.744.935;-439.416.242
