empresa;nome;endereco;bairro;cidade;estado;cep;latitude;longitude
PetCamp;São José do Rio Preto - PetCamp Yolanda - Loja 057;Rua Waldomiro Nadotti;;São José do Rio Preto;SP;;-20.80916120601065;49.3519504625669
PetCamp;São José do Rio Preto - PetCamp São Miguel- Loja 110;Rua Virgílio Dias de Castro;Conjunto Habitacional São Deocleciano;São José do Rio Preto;SP;15057030;-20.79286699258243;-49.344561937269184
PetCamp;São José do Rio Preto - PetCamp Estudantes - Loja 041;Alameda Franca;Jardim Roseana;São José do Rio Preto;SP;15030125;-20.80865024731069;-49.39685955092552
PetCamp;São José do Rio Preto - PetCamp  SJRP Coronel - Loja 079;Rua Redentora;Vila Redentora;São José do Rio Preto;SP;15015780;-20.81744;-49.39046
PetCamp;São José dos Campos - PetCamp São José dos Campos Urbanova - Loja 118;Rua Doutor Luiz Fernando Leite Chaves;Condomínio Residencial Montserrat;São José dos Campos;SP;12244131;-23.1891759521909;-45.933738415343704
PetCamp;São José dos Campos - PetCamp São José dos Campos Chaparral - Loja 119;Avenida Jorge Cury;Condomínio Residencial Monaco;São José dos Campos;SP;12244141;-23.205254760962752;-45.905445500000006
PetCamp;São José dos Campos - PetCamp São José dos Campos Valesul - Loja 122;Rua Bertioga;Jardim Satélite;São José dos Campos;SP;12230710;-23.235275477446216;-45.88441472883592
PetCamp;São José dos Campos - PetCamp São José dos Campos Aquarius - Loja 121;Rua Agenor Cursino;Altos do Esplanada;São José dos Campos;SP;12246012;-23.214754049593534;-45.90155652883592
PetCamp;São José dos Campos  - PetCamp São José dos Campos - Loja 101;Rua José Felicidade da Silva;Residencial Gazzo;São José dos Campos;SP;12236844;-23.261359181867878;-45.900086594477536
PetCamp;São José dos Campos - PetCamp São José dos Campos JK - Loja 120;Rua Bem-te-vi;Condomínio Residencial Alphaville I;São José dos Campos;SP;12244052;-23.183309643586195;-45.85795645713995
PetCamp;Tatuí - PetCamp Tatuí - Loja 116;Av Coronel Firmo Vieira de Camargo;;Tatuí;SP;;;
PetCamp;Taubaté- PetCamp Taubaté Aparecida - Loja 104;Rua Antonio Pereira de Andrade;Vila Aparecida;Taubaté;SP;12052072;-23.01470533877772;-45.56483592212625
PetCamp;Taubaté - PetCamp Taubaté - Loja 050;Rua Eurico Pereira Pena;Jardim Califórnia;Taubaté;SP;12062170;-23.004907557541955;-45.5504435625669
PetCamp;Uberaba - PetCamp Uberaba Leopoldino - Loja 109;Avenida Leopoldino de Oliveira;Conjunto Frei Eugênio;Uberaba;MG;38081035;-19.755581053309275;-47.91796084056645
PetCamp;Uberaba - PetCamp 3P Uberaba - Loja 084;Rua Doutor Antônio Rodrigues Braga;Irmãos Soares;Uberaba;MG;38060570;-19.74961;-47.94919
PetCamp;Valinhos - PetCamp Valinhos - Loja 039;Rua Antônio Negrello;Apaga Fogo;Valinhos;SP;13277151;-22.99223846112855;-47.00616913558206
PetCamp;Vinhedo - PetCamp Vinhedo - Loja 008;Rua Pouso do Chico Rey;Santa Cândida;Vinhedo;SP;13286674;-23.026919383668464;-46.98137554907447
PetCamp;Votorantim - PetCamp Votorantim - Loja 042;Rua Zulmira Ramos;Jardim Paraíso;Votorantim;SP;18110370;-23.535670919254503;-47.45173067791034
